date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:07	58760/58760	---M-Z	200	added ('OK')	text/html	etag:%22e588-56a7de2ad0780-gzip%22	http://designcarebd.com/corvance/	D:/microsoftsystem/designcarebd.com/corvance/index.html	(from )
14:33:08	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2012%20May%202018%2009:03:06%20GMT	http://designcarebd.com/robots.txt		(from )
14:33:09	1155/1155	---M--	200	added ('OK')	image/png	etag:%22483-566cce6237c00%22	http://designcarebd.com/corvance/assets/img/febicon.png	D:/microsoftsystem/designcarebd.com/corvance/assets/img/febicon.png	(from http://designcarebd.com/corvance/)
14:33:12	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-55065c1bf1e00%22	http://designcarebd.com/corvance/assets/css/font-awesome.min.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/font-awesome.min.css	(from http://designcarebd.com/corvance/)
14:33:12	3366/3366	---M--	200	added ('OK')	text/css	etag:%22d26-567d970d31880%22	http://designcarebd.com/corvance/assets/css/meanmenu.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/meanmenu.css	(from http://designcarebd.com/corvance/)
14:33:13	121200/121200	---M--	200	added ('OK')	text/css	etag:%221d970-55065c1bf1e00%22	http://designcarebd.com/corvance/assets/css/bootstrap.min.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/bootstrap.min.css	(from http://designcarebd.com/corvance/)
14:33:14	7708/7708	---M--	200	added ('OK')	text/css	etag:%221e1c-55065c1bf1e00%22	http://designcarebd.com/corvance/assets/css/normalize.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/normalize.css	(from http://designcarebd.com/corvance/)
14:33:15	1142/1142	---M--	200	added ('OK')	text/css	etag:%22476-55065c1bf1e00%22	http://designcarebd.com/corvance/assets/css/owl.carousel.min.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/owl.carousel.min.css	(from http://designcarebd.com/corvance/)
14:33:16	4645/4645	---M--	200	added ('OK')	text/css	etag:%221225-55065c1bf1e00%22	http://designcarebd.com/corvance/assets/css/owl.transitions.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/owl.transitions.css	(from http://designcarebd.com/corvance/)
14:33:17	6951/6951	---M--	200	added ('OK')	text/css	etag:%221b27-55065c1bf1e00%22	http://designcarebd.com/corvance/assets/css/magnific-popup.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/magnific-popup.css	(from http://designcarebd.com/corvance/)
14:33:20	44726/44726	---M--	200	added ('OK')	text/css	etag:%22aeb6-56a805f7dee80%22	http://designcarebd.com/corvance/assets/css/style.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/style.css	(from http://designcarebd.com/corvance/)
14:33:20	5066/5066	---M--	200	added ('OK')	text/css	etag:%2213ca-56a3f11764200%22	http://designcarebd.com/corvance/assets/css/responsive.css	D:/microsoftsystem/designcarebd.com/corvance/assets/css/responsive.css	(from http://designcarebd.com/corvance/)
14:33:21	58760/58760	---M-Z	200	added ('OK')	text/html	etag:%22e588-56a7de2ad0780-gzip%22	http://designcarebd.com/corvance/index.html	D:/microsoftsystem/designcarebd.com/corvance/index-2.html	(from http://designcarebd.com/corvance/)
14:33:21	3331/3331	---M--	200	added ('OK')	image/png	etag:%22d03-56a4a1b6ff700%22	http://designcarebd.com/corvance/assets/img/logo.png	D:/microsoftsystem/designcarebd.com/corvance/assets/img/logo.png	(from http://designcarebd.com/corvance/)
14:33:24	59139/59139	---M-Z	200	added ('OK')	text/html	etag:%22e703-56a7d9e02e780-gzip%22	http://designcarebd.com/corvance/index2.html	D:/microsoftsystem/designcarebd.com/corvance/index2.html	(from http://designcarebd.com/corvance/)
